Страна,Kлики,Показы,CTR,Позиция
Польша,122,10185,1.2%,10.84
Великобритания,1,40,2.5%,8.5
Хорватия,1,6,16.67%,3
США,0,160,0%,8.24
Германия,0,44,0%,10.2
Нидерланды,0,18,0%,8.39
Италия,0,17,0%,11.59
Украина,0,12,0%,5.92
Испания,0,10,0%,16.9
Дания,0,9,0%,9.33
Франция,0,9,0%,19.89
Греция,0,8,0%,10.12
Норвегия,0,8,0%,12.5
Турция,0,7,0%,6.14
Индонезия,0,4,0%,7.75
Швеция,0,4,0%,9.5
Словакия,0,4,0%,10.25
Вьетнам,0,4,0%,60.25
Россия,0,3,0%,3
Бразилия,0,3,0%,8
Канада,0,3,0%,8.33
Марокко,0,3,0%,10
Чехия,0,3,0%,20
Болгария,0,3,0%,20.67
Индия,0,3,0%,23.33
Португалия,0,3,0%,46
Армения,0,2,0%,3
Бельгия,0,2,0%,7.5
Таиланд,0,2,0%,7.5
Черногория,0,2,0%,8
Албания,0,2,0%,11
Саудовская Аравия,0,2,0%,12
Австрия,0,2,0%,22
Пуэрто-Рико,0,1,0%,1
Тунис,0,1,0%,2
Андорра,0,1,0%,4
Азербайджан,0,1,0%,4
Швейцария,0,1,0%,6
Китай,0,1,0%,6
Южная Африка,0,1,0%,6
Объединенные Арабские Эмираты,0,1,0%,8
Япония,0,1,0%,8
Замбия,0,1,0%,8
Аргентина,0,1,0%,9
Мексика,0,1,0%,9
Мальта,0,1,0%,9
Исландия,0,1,0%,10
Ирландия,0,1,0%,12
Сингапур,0,1,0%,12
Венгрия,0,1,0%,21
Латвия,0,1,0%,31
Румыния,0,1,0%,39
Коста-Рика,0,1,0%,62
Эквадор,0,1,0%,69
Бутан,0,1,0%,100
